,Unnamed: 0,ZIPCode,Type,County,Population,Area Code(s),Latitude,Longitude
0,0,94102,Standard,San Francisco,"31,176",415 / 510,37.7813,-122.4167
1,1,94103,Standard,San Francisco,"27,170",415 / 510 / 650,37.7725,-122.4147
2,2,94104,Standard,San Francisco,406,415 / 510 / 650 / 628,37.7915,-122.4018
3,3,94105,Standard,San Francisco,"5,846",415 / 510 / 650 / 628,37.7864,-122.3892
4,4,94107,Standard,San Francisco,"26,599",415 / 510 / 650,37.7621,-122.3971
5,5,94108,Standard,San Francisco,"13,768",415 / 510 / 628 / 650,37.7929,-122.4079
6,6,94109,Standard,San Francisco,"55,984",415,37.7917,-122.4186
7,7,94110,Standard,San Francisco,"69,333",415,37.7509,-122.4153
8,8,94111,Standard,San Francisco,"3,713",415 / 510 / 628 / 650,37.7974,-122.4001
9,9,94112,Standard,San Francisco,"79,407",415 / 510 / 650,37.7195,-122.4411
10,10,94114,Standard,San Francisco,"31,124",415 / 628,37.7587,-122.433
11,11,94115,Standard,San Francisco,"33,021",415,37.7856,-122.4358
12,12,94116,Standard,San Francisco,"43,698",415 / 628,37.7441,-122.4863
13,13,94117,Standard,San Francisco,"39,169",415,37.7712,-122.4413
14,14,94118,Standard,San Francisco,"38,319",415,37.7812,-122.4614
15,15,94119,P.O. Box,San Francisco,0,628,37.7749,-122.4194
16,16,94120,P.O. Box,San Francisco,0,628,37.7749,-122.4194
17,17,94121,Standard,San Francisco,"41,203",415,37.7786,-122.4892
18,18,94122,Standard,San Francisco,"56,023",415 / 628,37.7593,-122.4836
19,19,94123,Standard,San Francisco,"23,088",415,37.7999,-122.4342
20,20,94124,Standard,San Francisco,"33,996",415 / 510 / 628,37.7309,-122.3886
21,21,94125,P.O. Box,San Francisco,0,628,37.7749,-122.4194
22,22,94126,P.O. Box,San Francisco,0,628,37.7749,-122.4194
23,23,94127,Standard,San Francisco,"19,289",415 / 650,37.7354,-122.4571
24,24,94128,Standard,San Mateo,69,650,37.6216,-122.3929
25,25,94129,Standard,San Francisco,"3,183",415,37.8005,-122.465
26,26,94130,Standard,San Francisco,"2,880",510,37.8231,-122.3693
27,27,94131,Standard,San Francisco,"26,881",415 / 650,37.745,-122.4383
28,28,94132,Standard,San Francisco,"28,129",415 / 628,37.7211,-122.4754
29,29,94133,Standard,San Francisco,"26,237",415,37.8002,-122.4091
30,30,94134,Standard,San Francisco,"40,798",415 / 510 / 628,37.719,-122.4096
31,31,94137,Unique,San Francisco,0,628,37.7749,-122.4194
32,32,94139,Unique,San Francisco,0,628,37.7749,-122.4194
33,33,94140,P.O. Box,San Francisco,0,628,37.7749,-122.4194
34,34,94141,P.O. Box,San Francisco,0,628,37.7749,-122.4194
35,35,94142,P.O. Box,San Francisco,0,628,37.7749,-122.4194
36,36,94143,Standard,San Francisco,0,628,37.7631,-122.4586
37,37,94144,Unique,San Francisco,0,628,37.7749,-122.4194
38,38,94145,Unique,San Francisco,0,628,37.7749,-122.4194
39,39,94146,P.O. Box,San Francisco,0,628,37.7749,-122.4194
40,40,94147,P.O. Box,San Francisco,0,628,37.7749,-122.4194
41,41,94151,Unique,San Francisco,0,628,37.7749,-122.4194
42,42,94158,Standard,San Francisco,"4,792",415 / 628,37.7694,-122.3867
43,43,94159,P.O. Box,San Francisco,0,628,37.7749,-122.4194
44,44,94160,Unique,San Francisco,0,628,37.7749,-122.4194
45,45,94161,Unique,San Francisco,0,628,37.7749,-122.4194
46,46,94163,Unique,San Francisco,0,628,37.7749,-122.4194
47,47,94164,P.O. Box,San Francisco,0,628,37.7749,-122.4194
48,48,94172,P.O. Box,San Francisco,0,628,37.7749,-122.4194
49,49,94177,Unique,San Francisco,0,628,37.7749,-122.4194
50,50,94188,Standard,San Francisco,0,628 / 415 / 650,37.7749,-122.4194
